timestamp,signal,price,btc_amount,usd_amount,reason,portfolio_value,position_type,position_size_pct,kelly_multiplier
2025-05-19 15:00:00,BUY,104786.41,0.01776175498140294,1861.1905398008307,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16287.199909100738,BUY,0.6143493552168817,1.0
2025-05-19 16:00:00,BUY,105356.44,0.009980468159989497,1051.5065948698439,Momentum Breakout,16369.445338992018,BUY,0.9,1.0
2025-05-19 17:00:00,BUY,105380.95,0.0009978146855478553,105.15065948698425,Momentum Breakout,16373.226327627346,BUY,0.9,1.0
2025-05-21 14:00:00,SELL,108999.99,0.1397348252119184,15231.094550750855,Markov Exit: UP-OVERBOUGHT→FLAT-OVERBOUGHT (73%),16935.121796332838,SELL,,1.0
2025-05-21 15:00:00,SELL,108973.35,0.01397348252119184,1522.7372015007209,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),16934.70818125021,SELL,,1.0
2025-05-21 16:00:00,SELL,109131.7,0.0013973482521191843,152.49499024579518,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),16934.954036912128,SELL,,1.0
2025-05-21 17:00:00,BUY,106592.79,0.11651641544967306,12419.809803579756,Markov Aggressive: DOWN-NEUTRAL→FLAT-NEUTRAL (94%),16934.55984341759,BUY,0.7341176470588235,1.0
2025-05-21 18:00:00,BUY,106965.05,0.030532542481563767,3265.9149331675926,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),16977.992041661815,BUY,0.7260492379835873,1.0
2025-05-21 19:00:00,BUY,108603.79,0.010211953663161487,1109.0568711237208,Momentum Breakout,17219.221483257013,BUY,0.9,1.0
2025-05-21 20:00:00,BUY,108238.09,0.0008266035409734632,89.46998846220438,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17161.654388969633,BUY,0.7260492379835873,1.0
2025-05-22 03:00:00,SELL,111780.84,0.11489204696916093,12842.729519532262,Markov Exit: UP-OVERBOUGHT→FLAT-OVERBOUGHT (73%),17722.268983828824,SELL,,1.0
2025-05-22 04:00:00,SELL,111482.42,0.031474763816827116,3508.8828392283235,Markov Exit: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),17709.332259255843,SELL,,1.0
2025-05-22 05:00:00,BUY,110879.99,0.13299815251048377,14746.833820380916,Momentum Breakout,17702.177821500474,BUY,0.9,1.0
2025-05-22 06:00:00,BUY,110606.07,0.013332752732631148,1474.683382038092,Momentum Breakout,17662.493903159066,BUY,0.9,1.0
2025-05-22 07:00:00,BUY,111045.45,0.0013279998253310614,147.4683382038091,Momentum Breakout,17732.006837923484,BUY,0.9,1.0
2025-05-23 12:00:00,SELL,108412.77,0.14358138330125866,15566.055484121196,Trend Reversal,17312.002575490642,SELL,,1.0
2025-05-23 13:00:00,SELL,109634.99,0.014358138330125867,1574.1543522419663,Trend Reversal,17331.501246412692,SELL,,1.0
2025-05-23 14:00:00,SELL,109672.01,0.001435813833012586,157.46858905229465,Trend Reversal,17331.56030622169,SELL,,1.0
2025-05-23 15:00:00,BUY,108940.0,0.09763983779564386,10636.883929457443,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17331.443525101255,BUY,0.6143493552168817,1.0
2025-05-23 16:00:00,SELL,109068.87,0.06008298153795948,6553.182902576103,Trend Reversal,17344.04693025672,SELL,,1.0
2025-05-23 17:00:00,SELL,109413.03,0.023171040570606264,2535.2137570829605,Trend Reversal,17357.027403427343,SELL,,1.0
2025-05-23 18:00:00,SELL,108794.09,0.008935926736350098,972.1760175878787,Trend Reversal,17348.024704153337,SELL,,1.0
2025-05-23 19:00:00,SELL,108716.07,0.0034461459076081213,374.6514397217381,Trend Reversal,17347.587056906817,SELL,,1.0
2025-05-23 20:00:00,SELL,108236.53,0.0013290083912857764,143.84725661365468,Trend Reversal,17346.5496786162,SELL,,1.0
2025-05-23 21:00:00,BUY,108282.89,0.09790435795564868,10601.366823032131,Markov Aggressive: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),17346.588355351247,BUY,0.6143493552168817,1.0
