timestamp,signal,price,btc_amount,usd_amount,reason,regime,risk_mode,portfolio_value
2025-05-26 14:00:00,BUY,109652.51,0.0012217222095288578,133.96490679758517,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17795.849980906136
2025-05-26 15:00:00,BUY,110009.82,0.0007306524461048214,80.37894407855111,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17853.184141842405
2025-05-26 16:00:00,BUY,109391.37,0.00044086993742861676,48.22736644713066,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17753.49543954679
2025-06-03 00:00:00,SELL,106285.72,0.06465283098612293,6871.672691398386,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17251.522778166658
2025-06-03 01:00:00,SELL,106481.75,0.03879169859167375,4130.607951513956,Markov Exit CONSERVATIVE: FLAT-OVERBOUGHT→FLAT-OVERBOUGHT (74%),SIDEWAYS,CONSERVATIVE,17270.533619853974
2025-06-03 02:00:00,BUY,105612.46,0.04194437547457199,4429.848677033216,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17219.951766350838
2025-06-03 03:00:00,BUY,105482.02,0.025197746556426665,2657.909206219929,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17206.89055826749
2025-06-03 04:00:00,BUY,105166.92,0.015163946264965802,1594.7455237319573,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17167.39917927617
2025-06-03 05:00:00,BUY,105452.08,0.009073764256135815,956.8473142391745,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17207.462338867048
2025-06-03 06:00:00,BUY,105429.67,0.005445415778532785,574.1083885435046,Markov CONSERVATIVE: FLAT-NEUTRAL→FLAT-NEUTRAL (93%),SIDEWAYS,CONSERVATIVE,17204.110533871393
